Reference, Quantity, Value, Footprint, Datasheet, Digi-Key Part, Other, LCSC Part #
D1 D3 D5 D7 D11 ,5,"RED LED","LED_THT:LED_D3.0mm","","732-5005-ND","https://www.amazon.com/dp/B077J2WJRS/",""
D10 ,1,"YELLOW LED","LED_THT:LED_D3.0mm","","732-5010-ND","https://www.amazon.com/dp/B077J2WJRS/",""
D13 D14 ,2,"SB120","Diode_THT:D_DO-41_SOD81_P5.08mm_Vertical_AnodeUp","","112-SB120-E3/54CT-ND","","C174003"
D15 D16 ,2,"SB120","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","","112-SB120-E3/54CT-ND","","C174003"
D2 D4 D6 D8 D12 ,5,"BLUE LED","LED_THT:LED_D3.0mm","","732-5011-ND","https://www.amazon.com/dp/B077J2WJRS/",""
D9 ,1,"GREEN LED","LED_THT:LED_D3.0mm","","732-5007-ND","https://www.amazon.com/dp/B077J2WJRS/",""
J1 J2 J3 J4 ,4,"Thonk 3.5mm Jack","audio jacks:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical","","","https://synthcube.com/cart/3.5mm-audio-jacks",""
J5 ,1,"Conn_02x10_Odd_Even_Female","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical","","S6106-ND","",""
J6 ,1,"Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","","S2011EC-05-ND","","C492422"
R1 R2 ,2,"5.6K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","CF14JT5K60CT-ND","","C120063"
R3 R4 ,2,"20K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","CF14JT20K0CT-ND","","C120063"
SW1 SW2 SW3 ,3,"SW_SPDT","sputterizer:SW_Slide_EG1248","","EG1248-ND","",""
SW4 ,1,"SW_DPST","sputterizer:S202031MS02Q","","CKN9891-ND","",""